날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.01.01,일,14:00,고양 소노 아레나,고양 캐롯,77,수원 KT,90,False,정규시즌
2023.01.01,일,14:00,잠실실내체육관,서울 삼성,67,서울 SK,86,False,정규시즌
2023.01.01,일,16:00,창원체육관,창원 LG,73,울산 현대모비스,77,False,정규시즌
2023.01.02,월,19:00,원주종합체육관,원주 DB,70,안양 정관장,86,False,정규시즌
2023.01.03,화,19:00,군산월명체육관,부산 KCC,79,고양 캐롯,72,True,정규시즌
2023.01.04,수,19:00,잠실학생체육관,서울 SK,97,원주 DB,63,True,정규시즌
2023.01.05,목,19:00,고양 소노 아레나,고양 캐롯,80,울산 현대모비스,77,True,정규시즌
2023.01.05,목,19:00,잠실실내체육관,서울 삼성,68,창원 LG,79,False,정규시즌
2023.01.06,금,19:00,군산월명체육관,부산 KCC,70,서울 SK,78,False,정규시즌
2023.01.06,금,19:00,안양 정관장 아레나,안양 정관장,83,수원 KT,85,False,정규시즌
2023.01.07,토,14:00,울산동천체육관,울산 현대모비스,90,원주 DB,94,False,정규시즌
2023.01.07,토,14:00,창원체육관,창원 LG,64,고양 캐롯,73,False,정규시즌
2023.01.07,토,16:00,대구체육관,대구 한국가스공사,83,서울 삼성,77,True,정규시즌
2023.01.08,일,14:00,울산동천체육관,울산 현대모비스,89,수원 KT,83,True,정규시즌
2023.01.08,일,14:00,안양 정관장 아레나,안양 정관장,83,서울 SK,80,True,정규시즌
2023.01.08,일,16:00,잠실실내체육관,서울 삼성,58,부산 KCC,68,False,정규시즌
2023.01.09,월,19:00,고양 소노 아레나,고양 캐롯,87,대구 한국가스공사,76,True,정규시즌
2023.01.10,화,19:00,수원 KT 아레나,수원 KT,60,부산 KCC,79,False,정규시즌
2023.01.10,화,19:00,잠실학생체육관,서울 SK,61,창원 LG,85,False,정규시즌
2023.01.11,수,19:00,울산동천체육관,울산 현대모비스,86,안양 정관장,100,True,정규시즌
2023.01.15,일,14:00,수원 KT 아레나,팀 허웅,117,팀 이대성,122,False,올스타전
2023.01.17,화,19:00,원주종합체육관,원주 DB,81,창원 LG,82,False,정규시즌
2023.01.19,목,19:00,고양 소노 아레나,고양 캐롯,87,원주 DB,72,True,정규시즌
2023.01.19,목,19:00,잠실실내체육관,서울 삼성,66,수원 KT,77,False,정규시즌
2023.01.20,금,19:00,창원체육관,창원 LG,69,대구 한국가스공사,64,True,정규시즌
2023.01.20,금,19:00,울산동천체육관,울산 현대모비스,66,부산 KCC,64,True,정규시즌
2023.01.21,토,14:00,수원 KT 아레나,수원 KT,73,서울 SK,76,False,정규시즌
2023.01.21,토,14:00,고양 소노 아레나,고양 캐롯,85,안양 정관장,65,True,정규시즌
2023.01.21,토,16:00,잠실실내체육관,서울 삼성,82,원주 DB,85,False,정규시즌
2023.01.22,일,14:00,대구체육관,대구 한국가스공사,86,울산 현대모비스,93,False,정규시즌
2023.01.22,일,14:00,창원체육관,창원 LG,93,부산 KCC,74,True,정규시즌
2023.01.22,일,16:00,안양 정관장 아레나,안양 정관장,91,서울 삼성,66,True,정규시즌
2023.01.23,월,14:00,원주종합체육관,원주 DB,80,수원 KT,76,True,정규시즌
2023.01.23,월,16:00,잠실학생체육관,서울 SK,82,고양 캐롯,80,True,정규시즌
2023.01.24,화,14:00,울산동천체육관,울산 현대모비스,82,창원 LG,75,True,정규시즌
2023.01.24,화,16:00,전주실내체육관,부산 KCC,67,대구 한국가스공사,72,False,정규시즌
2023.01.26,목,19:00,원주종합체육관,원주 DB,71,대구 한국가스공사,65,True,정규시즌
2023.01.27,금,19:00,잠실실내체육관,서울 삼성,70,울산 현대모비스,85,False,정규시즌
2023.01.27,금,19:00,수원 KT 아레나,수원 KT,90,고양 캐롯,76,True,정규시즌
2023.01.28,토,14:00,잠실학생체육관,서울 SK,118,대구 한국가스공사,116,True,정규시즌
2023.01.28,토,14:00,창원체육관,창원 LG,68,안양 정관장,63,True,정규시즌
2023.01.28,토,16:00,원주종합체육관,원주 DB,89,부산 KCC,73,True,정규시즌
2023.01.29,일,14:00,수원 KT 아레나,수원 KT,80,창원 LG,81,False,정규시즌
2023.01.29,일,14:00,안양 정관장 아레나,안양 정관장,87,대구 한국가스공사,85,True,정규시즌
2023.01.29,일,16:00,울산동천체육관,울산 현대모비스,79,서울 SK,65,True,정규시즌
2023.01.30,월,19:00,고양 소노 아레나,고양 캐롯,68,서울 삼성,65,True,정규시즌
2023.01.31,화,19:00,수원 KT 아레나,수원 KT,88,대구 한국가스공사,84,True,정규시즌
2023.01.31,화,19:00,전주실내체육관,부산 KCC,81,안양 정관장,83,False,정규시즌
2023.02.01,수,19:00,잠실학생체육관,서울 SK,72,창원 LG,75,False,정규시즌
2023.02.02,목,19:00,고양 소노 아레나,고양 캐롯,65,안양 정관장,82,False,정규시즌
2023.02.02,목,19:00,잠실실내체육관,서울 삼성,73,수원 KT,70,True,정규시즌
2023.02.03,금,19:00,창원체육관,창원 LG,76,원주 DB,74,True,정규시즌
