날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.03.13,월,14:00,한화생명 이글스 파크,KIA,1,한화,6,False,시범경기
2023.03.13,월,14:00,고척 스카이돔,KT,2,키움,1,True,시범경기
2023.03.13,월,14:00,창원NC파크,LG,4,NC,2,True,시범경기
2023.03.13,월,14:00,사직야구장,두산,5,롯데,3,True,시범경기
2023.03.13,월,14:00,대구 삼성 라이온즈 파크,SSG,1,삼성,3,False,시범경기
2023.03.14,화,14:00,한화생명 이글스 파크,KIA,8,한화,3,True,시범경기
2023.03.14,화,14:00,고척 스카이돔,KT,11,키움,1,True,시범경기
2023.03.14,화,14:00,창원NC파크,LG,5,NC,2,True,시범경기
2023.03.14,화,14:00,사직야구장,두산,4,롯데,8,False,시범경기
2023.03.14,화,14:00,대구 삼성 라이온즈 파크,SSG,2,삼성,1,True,시범경기
2023.03.15,수,13:00,고척 스카이돔,KIA,6,키움,2,True,시범경기
2023.03.15,수,13:00,한화생명 이글스 파크,KT,4,한화,10,True,시범경기
2023.03.15,수,13:00,대구 삼성 라이온즈 파크,LG,8,삼성,14,True,시범경기
2023.03.15,수,13:00,창원NC파크,두산,7,NC,3,True,시범경기
2023.03.15,수,13:00,사직야구장,SSG,4,롯데,2,True,시범경기
2023.03.16,목,14:00,고척 스카이돔,KIA,2,키움,3,False,시범경기
2023.03.16,목,14:00,한화생명 이글스 파크,KT,3,한화,5,False,시범경기
2023.03.16,목,14:00,대구 삼성 라이온즈 파크,LG,5,삼성,2,True,시범경기
2023.03.16,목,14:00,창원NC파크,두산,0,NC,3,False,시범경기
2023.03.16,목,14:00,사직야구장,SSG,3,롯데,3,False,시범경기
2023.03.18,토,13:00,대구 삼성 라이온즈 파크,KT,4,삼성,5,False,시범경기
2023.03.18,토,13:00,사직야구장,LG,7,롯데,2,True,시범경기
2023.03.18,토,13:00,광주-기아 챔피언스필드,두산,3,KIA,3,False,시범경기
2023.03.18,토,13:00,창원NC파크,SSG,6,NC,7,False,시범경기
2023.03.18,토,13:00,한화생명 이글스 파크,키움,2,한화,10,True,시범경기
2023.03.19,일,13:00,대구 삼성 라이온즈 파크,KT,1,삼성,4,False,시범경기
2023.03.19,일,13:00,사직야구장,LG,5,롯데,2,True,시범경기
2023.03.19,일,13:00,광주-기아 챔피언스필드,두산,1,KIA,8,False,시범경기
2023.03.19,일,13:00,창원NC파크,SSG,3,NC,4,False,시범경기
2023.03.19,일,13:00,한화생명 이글스 파크,키움,12,한화,4,False,시범경기
2023.03.20,월,13:00,광주-기아 챔피언스필드,LG,1,KIA,3,False,시범경기
2023.03.20,월,13:00,대구 삼성 라이온즈 파크,롯데,2,삼성,5,False,시범경기
2023.03.20,월,13:00,수원 케이티위즈 파크,두산,2,KT,8,False,시범경기
2023.03.20,월,13:00,한화생명 이글스 파크,SSG,1,한화,10,False,시범경기
2023.03.20,월,13:00,창원NC파크,키움,6,NC,0,True,시범경기
2023.03.21,화,13:00,광주-기아 챔피언스필드,LG,6,KIA,2,True,시범경기
2023.03.21,화,13:00,대구 삼성 라이온즈 파크,롯데,10,삼성,12,False,시범경기
2023.03.21,화,13:00,수원 케이티위즈 파크,두산,5,KT,5,False,시범경기
2023.03.21,화,13:00,한화생명 이글스 파크,SSG,3,한화,3,False,시범경기
2023.03.21,화,13:00,창원NC파크,키움,5,NC,5,False,시범경기
2023.03.23,목,13:00,수원 케이티위즈 파크,LG,6,KT,2,True,시범경기
2023.03.23,목,13:00,창원NC파크,경기취소,롯데,-,NC  -,True,시범경기
2023.03.23,목,13:00,한화생명 이글스 파크,경기취소,두산,-,한화  -,False,시범경기
2023.03.23,목,13:00,광주-기아 챔피언스필드,경기취소,SSG,-,KIA  -,True,시범경기
2023.03.23,목,13:00,고척 스카이돔,삼성,6,키움,5,True,시범경기
2023.03.24,금,13:00,수원 케이티위즈 파크,LG,1,KT,7,False,시범경기
2023.03.24,금,13:00,창원NC파크,롯데,6,NC,5,True,시범경기
2023.03.24,금,13:00,한화생명 이글스 파크,두산,10,한화,3,False,시범경기
2023.03.24,금,13:00,광주-기아 챔피언스필드,SSG,3,KIA,2,True,시범경기
2023.03.24,금,13:00,고척 스카이돔,삼성,4,키움,3,True,시범경기
2023.03.25,토,13:00,고척 스카이돔,LG,8,키움,1,True,시범경기
2023.03.25,토,13:00,수원 케이티위즈 파크,SSG,5,KT,5,False,시범경기
