날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.01.01,일,14:00,안산상록수체육관,OK저축은행,3,대한항공,0,True,정규시즌
2023.01.03,화,19:00,서울장충체육관,우리카드,3,KB손해보험,0,True,정규시즌
2023.01.04,수,19:00,인천계양체육관,대한항공,3,OK저축은행,0,True,정규시즌
2023.01.05,목,19:00,대전충무체육관,삼성화재,3,한국전력,2,True,정규시즌
2023.01.06,금,19:00,의정부체육관,KB손해보험,3,우리카드,0,True,정규시즌
2023.01.07,토,14:00,인천계양체육관,대한항공,3,현대캐피탈,2,True,정규시즌
2023.01.08,일,16:00,안산상록수체육관,OK저축은행,3,삼성화재,0,True,정규시즌
2023.01.10,화,19:00,서울장충체육관,우리카드,2,한국전력,3,False,정규시즌
2023.01.11,수,19:00,대전충무체육관,삼성화재,1,대한항공,3,False,정규시즌
2023.01.12,목,19:00,천안유관순체육관,현대캐피탈,3,KB손해보험,1,True,정규시즌
2023.01.13,금,19:00,수원체육관,한국전력,3,OK저축은행,0,True,정규시즌
2023.01.14,토,14:00,서울장충체육관,우리카드,3,대한항공,2,True,정규시즌
2023.01.15,일,14:00,천안유관순체육관,현대캐피탈,3,삼성화재,1,True,정규시즌
2023.01.17,화,19:00,안산상록수체육관,OK저축은행,3,KB손해보험,1,True,정규시즌
2023.01.19,목,19:00,서울장충체육관,우리카드,3,현대캐피탈,1,True,정규시즌
2023.01.20,금,19:00,수원체육관,한국전력,2,대한항공,3,False,정규시즌
2023.01.21,토,14:00,의정부체육관,KB손해보험,3,삼성화재,1,True,정규시즌
2023.01.22,일,14:00,서울장충체육관,우리카드,3,OK저축은행,2,True,정규시즌
2023.01.23,월,14:00,천안유관순체육관,현대캐피탈,1,한국전력,3,False,정규시즌
2023.01.24,화,14:00,의정부체육관,KB손해보험,3,대한항공,0,True,정규시즌
2023.01.25,수,19:00,대전충무체육관,삼성화재,3,우리카드,2,True,정규시즌
2023.01.26,목,19:00,안산상록수체육관,OK저축은행,0,현대캐피탈,3,False,정규시즌
