날짜,시간,구장,경기  홈팀원정팀,구분
2023.01.01 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.02 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.03 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.04 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.05 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.06 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.07 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.08 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.09 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.10 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.11 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.12 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.13 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.14 토,18:00,아산이순신실내체육관,종료  우리은행  68  BNK 썸  56,정규시즌
2023.01.15 일,18:00,청주실내체육관,종료  KB스타즈  85  하나은행  76,정규시즌
2023.01.16 월,19:00,부산사직실내체육관,종료  BNK 썸  72  삼성생명  71,정규시즌
2023.01.17 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.18 수,19:00,인천도원실내체육관,종료  신한은행  81  우리은행  78,정규시즌
2023.01.19 목,19:00,부천실내체육관,종료  하나은행  65  삼성생명  56,정규시즌
2023.01.20 금,19:00,청주실내체육관,종료  KB스타즈  62  BNK 썸  61,정규시즌
2023.01.21 토,18:00,부천실내체육관,종료  하나은행  57  신한은행  71,정규시즌
2023.01.22 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.23 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.24 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.25 수,19:00,용인실내체육관,종료  삼성생명  75  KB스타즈  79,정규시즌
2023.01.26 목,19:00,아산이순신실내체육관,종료  우리은행  74  하나은행  61,정규시즌
2023.01.27 금,19:00,부산사직실내체육관,종료  BNK 썸  79  신한은행  62,정규시즌
2023.01.28 토,18:00,청주실내체육관,종료  KB스타즈  88  삼성생명  67,정규시즌
2023.01.29 일,14:00,부산사직실내체육관,종료  BNK 썸  82  하나은행  68,정규시즌
2023.01.30 월,19:00,인천도원실내체육관,종료  신한은행  74  우리은행  72,정규시즌
2023.01.31 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.01 수,19:00,청주실내체육관,종료  KB스타즈  70  하나은행  80,정규시즌
2023.02.02 목,19:00,아산이순신실내체육관,종료  우리은행  58  삼성생명  69,정규시즌
2023.02.03 금,19:00,부산사직실내체육관,종료  BNK 썸  69  신한은행  76,정규시즌
2023.02.04 토,18:00,부천실내체육관,종료  하나은행  51  삼성생명  63,정규시즌
2023.02.05 일,14:20,아산이순신실내체육관,종료  우리은행  69  KB스타즈  59,정규시즌
2023.02.06 월,19:00,부천실내체육관,종료  하나은행  72  신한은행  85,정규시즌
2023.02.07 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.08 수,19:00,용인실내체육관,종료  삼성생명  78  BNK 썸  73,정규시즌
2023.02.09 목,19:00,인천도원실내체육관,종료  신한은행  70  KB스타즈  69,정규시즌
2023.02.10 금,19:00,부천실내체육관,종료  하나은행  60  우리은행  94,정규시즌
2023.02.11 토,18:00,청주실내체육관,종료  KB스타즈  64  BNK 썸  62,정규시즌
2023.02.12 일,14:20,용인실내체육관,종료  삼성생명  86  신한은행  73,정규시즌
2023.02.13 월,19:00,부산사직실내체육관,종료  BNK 썸  52  우리은행  76,정규시즌
2023.02.14 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.15 수,19:00,부천실내체육관,종료  하나은행  82  KB스타즈  69,정규시즌
2023.02.16 목,19:00,용인실내체육관,종료  삼성생명  59  우리은행  72,정규시즌
2023.02.17 금,19:00,청주실내체육관,종료  KB스타즈  55  신한은행  68,정규시즌
2023.02.18 토,18:00,아산이순신실내체육관,종료  우리은행  69  하나은행  44,정규시즌
2023.02.19 일,14:00,,종료  BNK 썸  73  신한은행  61,정규시즌
2023.02.20 월,19:00,용인실내체육관,종료  삼성생명  70  KB스타즈  59,정규시즌
