날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.01.14,토,18:00,아산이순신실내체육관,우리은행,68,BNK,썸  56,False,정규시즌
2023.01.15,일,18:00,청주실내체육관,KB스타즈,85,하나은행,76,True,정규시즌
2023.01.16,월,19:00,부산사직실내체육관,BNK,썸,72,삼성생명  71,True,정규시즌
2023.01.18,수,19:00,인천도원실내체육관,신한은행,81,우리은행,78,True,정규시즌
2023.01.19,목,19:00,부천실내체육관,하나은행,65,삼성생명,56,True,정규시즌
2023.01.20,금,19:00,청주실내체육관,KB스타즈,62,BNK,썸  61,False,정규시즌
2023.01.21,토,18:00,부천실내체육관,하나은행,57,신한은행,71,False,정규시즌
2023.01.25,수,19:00,용인실내체육관,삼성생명,75,KB스타즈,79,False,정규시즌
2023.01.26,목,19:00,아산이순신실내체육관,우리은행,74,하나은행,61,True,정규시즌
2023.01.27,금,19:00,부산사직실내체육관,BNK,썸,79,신한은행  62,True,정규시즌
2023.01.28,토,18:00,청주실내체육관,KB스타즈,88,삼성생명,67,True,정규시즌
2023.01.29,일,14:00,부산사직실내체육관,BNK,썸,82,하나은행  68,False,정규시즌
2023.01.30,월,19:00,인천도원실내체육관,신한은행,74,우리은행,72,True,정규시즌
2023.02.01,수,19:00,청주실내체육관,KB스타즈,70,하나은행,80,False,정규시즌
2023.02.02,목,19:00,아산이순신실내체육관,우리은행,58,삼성생명,69,False,정규시즌
2023.02.03,금,19:00,부산사직실내체육관,BNK,썸,69,신한은행  76,True,정규시즌
2023.02.04,토,18:00,부천실내체육관,하나은행,51,삼성생명,63,False,정규시즌
2023.02.05,일,14:20,아산이순신실내체육관,우리은행,69,KB스타즈,59,True,정규시즌
2023.02.06,월,19:00,부천실내체육관,하나은행,72,신한은행,85,False,정규시즌
2023.02.08,수,19:00,용인실내체육관,삼성생명,78,BNK,썸  73,False,정규시즌
2023.02.09,목,19:00,인천도원실내체육관,신한은행,70,KB스타즈,69,True,정규시즌
2023.02.10,금,19:00,부천실내체육관,하나은행,60,우리은행,94,False,정규시즌
2023.02.11,토,18:00,청주실내체육관,KB스타즈,64,BNK,썸  62,False,정규시즌
2023.02.12,일,14:20,용인실내체육관,삼성생명,86,신한은행,73,True,정규시즌
2023.02.13,월,19:00,부산사직실내체육관,BNK,썸,52,우리은행  76,False,정규시즌
2023.02.15,수,19:00,부천실내체육관,하나은행,82,KB스타즈,69,True,정규시즌
2023.02.16,목,19:00,용인실내체육관,삼성생명,59,우리은행,72,False,정규시즌
2023.02.17,금,19:00,청주실내체육관,KB스타즈,55,신한은행,68,False,정규시즌
2023.02.18,토,18:00,아산이순신실내체육관,우리은행,69,하나은행,44,True,정규시즌
2023.02.19,일,14:00,,BNK,썸,73,신한은행  61,True,정규시즌
2023.02.20,월,19:00,용인실내체육관,삼성생명,70,KB스타즈,59,True,정규시즌
2023.02.22,수,19:00,아산이순신실내체육관,우리은행,60,BNK,썸  72,False,정규시즌
2023.02.23,목,19:00,인천도원실내체육관,신한은행,75,하나은행,95,False,정규시즌
2023.02.24,금,19:00,부산사직실내체육관,BNK,썸,77,삼성생명  57,True,정규시즌
2023.02.25,토,18:00,청주실내체육관,KB스타즈,56,우리은행,70,False,정규시즌
2023.02.26,일,18:00,인천도원실내체육관,신한은행,77,삼성생명,73,True,정규시즌
2023.02.27,월,19:00,부천실내체육관,하나은행,76,BNK,썸  83,False,정규시즌
2023.03.01,수,18:00,아산이순신실내체육관,우리은행,78,신한은행,59,True,정규시즌
2023.03.02,목,19:00,부산사직실내체육관,BNK,썸,73,KB스타즈  76,True,정규시즌
2023.03.03,금,19:00,용인실내체육관,삼성생명,65,하나은행,92,False,정규시즌
2023.03.11,토,17:00,아산이순신실내체육관,우리은행,65,신한은행,51,True,플레이오프
2023.03.12,일,14:00,부산사직실내체육관,BNK,썸,66,삼성생명  56,True,플레이오프
2023.03.13,월,19:00,인천도원실내체육관,신한은행,58,우리은행,70,False,플레이오프
2023.03.14,화,19:00,용인실내체육관,삼성생명,70,BNK,썸  81,False,플레이오프
2023.03.19,일,14:25,아산이순신실내체육관,우리은행,62,BNK,썸  56,False,챔피언결정전
2023.03.21,화,19:00,아산이순신실내체육관,우리은행,84,BNK,썸  67,False,챔피언결정전
2023.03.23,목,19:00,부산사직실내체육관,BNK,썸,57,우리은행  64,False,챔피언결정전
2023.11.05,일,14:25,아산이순신실내체육관,우리은행,74,BNK,썸  70,False,정규시즌
2023.11.06,월,19:00,용인실내체육관,삼성생명,67,하나은행,66,True,정규시즌
2023.11.08,수,19:00,인천도원실내체육관,신한은행,57,KB스타즈,82,False,정규시즌
2023.11.09,목,19:00,부천실내체육관,하나은행,53,우리은행,57,False,정규시즌
2023.11.10,금,19:00,인천도원실내체육관,신한은행,71,BNK,썸  76,False,정규시즌
2023.11.11,토,18:00,청주실내체육관,KB스타즈,63,삼성생명,44,True,정규시즌
2023.11.12,일,18:00,부천실내체육관,하나은행,65,BNK,썸  74,False,정규시즌
2023.11.13,월,19:00,인천도원실내체육관,신한은행,84,삼성생명,89,False,정규시즌
2023.11.15,수,19:00,아산이순신실내체육관,우리은행,72,KB스타즈,71,True,정규시즌
2023.11.16,목,19:00,용인실내체육관,삼성생명,80,BNK,썸  70,False,정규시즌
2023.11.17,금,19:00,청주실내체육관,KB스타즈,74,하나은행,64,True,정규시즌
2023.11.18,토,18:00,용인실내체육관,삼성생명,55,우리은행,73,False,정규시즌
