날짜,시간,구장,경기  홈팀원정팀,구분
2023.01.01 일,16:00,화성종합실내체육관,종료  IBK기업은행  0  현대건설  3,정규시즌
2023.01.02 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.03 화,19:00,대전충무체육관,종료  정관장  2  한국도로공사  3,정규시즌
2023.01.04 수,19:00,수원체육관,종료  현대건설  3  IBK기업은행  0,정규시즌
2023.01.05 목,19:00,인천삼산월드체육관,종료  흥국생명  3  GS칼텍스  2,정규시즌
2023.01.06 금,19:00,김천실내체육관,종료  한국도로공사  3  정관장  1,정규시즌
2023.01.07 토,16:00,수원체육관,종료  현대건설  3  페퍼저축은행  0,정규시즌
2023.01.08 일,14:00,화성종합실내체육관,종료  IBK기업은행  1  흥국생명  3,정규시즌
2023.01.09 월,19:00,서울장충체육관,종료  GS칼텍스  3  정관장  2,정규시즌
2023.01.10 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.11 수,19:00,인천삼산월드체육관,종료  흥국생명  2  현대건설  3,정규시즌
2023.01.12 목,19:00,페퍼스타디움,종료  페퍼저축은행  0  한국도로공사  3,정규시즌
2023.01.13 금,19:00,서울장충체육관,종료  GS칼텍스  3  IBK기업은행  0,정규시즌
2023.01.14 토,16:00,수원체육관,종료  현대건설  3  정관장  1,정규시즌
2023.01.15 일,16:00,페퍼스타디움,종료  페퍼저축은행  1  흥국생명  3,정규시즌
2023.01.16 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.17 화,19:00,화성종합실내체육관,종료  IBK기업은행  3  한국도로공사  0,정규시즌
2023.01.18 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.19 목,19:00,대전충무체육관,종료  정관장  3  페퍼저축은행  1,정규시즌
2023.01.20 금,19:00,서울장충체육관,종료  GS칼텍스  3  현대건설  2,정규시즌
2023.01.21 토,16:00,김천실내체육관,종료  한국도로공사  0  흥국생명  3,정규시즌
2023.01.22 일,16:00,대전충무체육관,종료  정관장  3  IBK기업은행  0,정규시즌
2023.01.23 월,16:00,페퍼스타디움,종료  페퍼저축은행  3  GS칼텍스  1,정규시즌
2023.01.24 화,16:00,김천실내체육관,종료  한국도로공사  3  현대건설  1,정규시즌
2023.01.25 수,19:00,인천삼산월드체육관,종료  흥국생명  1  정관장  3,정규시즌
2023.01.26 목,19:00,화성종합실내체육관,종료  IBK기업은행  3  페퍼저축은행  0,정규시즌
2023.01.27 금,19:00,서울장충체육관,종료  GS칼텍스  1  한국도로공사  3,정규시즌
2023.01.28 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
