지역,날짜,사고,사망,부상
강원 강릉시,2023.01.01,5,0,10
강원 강릉시,2023.01.02,2,0,2
강원 강릉시,2023.01.03,3,0,4
강원 강릉시,2023.01.04,3,0,4
강원 강릉시,2023.01.05,1,0,1
강원 강릉시,2023.01.06,1,0,1
강원 강릉시,2023.01.07,3,0,4
강원 강릉시,2023.01.08,3,0,3
강원 강릉시,2023.01.09,4,0,6
강원 강릉시,2023.01.10,1,0,1
강원 강릉시,2023.01.12,3,1,2
강원 강릉시,2023.01.13,2,0,3
강원 강릉시,2023.01.14,3,0,4
강원 강릉시,2023.01.15,1,0,2
강원 강릉시,2023.01.17,1,0,1
강원 강릉시,2023.01.18,1,0,1
강원 강릉시,2023.01.19,1,0,1
강원 강릉시,2023.01.20,3,0,5
강원 강릉시,2023.01.21,1,1,0
강원 강릉시,2023.01.22,1,0,1
강원 강릉시,2023.01.24,1,0,1
강원 강릉시,2023.01.25,1,1,0
강원 강릉시,2023.01.26,1,1,0
강원 강릉시,2023.01.27,3,0,4
강원 강릉시,2023.01.29,1,0,1
강원 강릉시,2023.01.30,1,0,1
강원 강릉시,2023.01.31,1,0,1
강원 강릉시,2023.02.02,1,0,1
강원 강릉시,2023.02.03,1,0,1
강원 강릉시,2023.02.06,1,0,2
강원 강릉시,2023.02.07,2,0,3
강원 강릉시,2023.02.08,2,0,2
강원 강릉시,2023.02.09,1,0,1
강원 강릉시,2023.02.10,1,0,1
강원 강릉시,2023.02.11,1,0,1
강원 강릉시,2023.02.12,5,0,8
강원 강릉시,2023.02.13,4,0,6
강원 강릉시,2023.02.15,1,0,1
강원 강릉시,2023.02.17,2,0,2
강원 강릉시,2023.02.18,3,0,4
강원 강릉시,2023.02.19,1,0,1
강원 강릉시,2023.02.20,3,0,3
강원 강릉시,2023.02.21,3,0,3
강원 강릉시,2023.02.22,2,0,3
강원 강릉시,2023.02.23,2,0,2
강원 강릉시,2023.02.24,1,0,1
강원 강릉시,2023.02.25,2,0,3
강원 강릉시,2023.02.26,4,0,6
강원 강릉시,2023.02.28,2,0,2
강원 강릉시,2023.03.02,2,0,5
강원 강릉시,2023.03.04,4,0,6
강원 강릉시,2023.03.05,2,0,2
강원 강릉시,2023.03.06,1,0,3
강원 강릉시,2023.03.07,1,0,1
강원 강릉시,2023.03.08,3,0,3
강원 강릉시,2023.03.10,3,0,3
강원 강릉시,2023.03.11,3,0,3
강원 강릉시,2023.03.12,1,0,2
강원 강릉시,2023.03.13,1,0,2
강원 강릉시,2023.03.15,2,1,1
강원 강릉시,2023.03.16,3,0,4
