날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.03.13,월,14:00,한화생명 이글스 파크,한화,6,KIA,1,True,시범경기
2023.03.13,월,14:00,고척 스카이돔,키움,1,KT,2,False,시범경기
2023.03.13,월,14:00,창원NC파크,NC,2,LG,4,False,시범경기
2023.03.13,월,14:00,사직야구장,롯데,3,두산,5,False,시범경기
2023.03.13,월,14:00,대구 삼성 라이온즈 파크,삼성,3,SSG,1,True,시범경기
2023.03.14,화,14:00,한화생명 이글스 파크,한화,3,KIA,8,False,시범경기
2023.03.14,화,14:00,고척 스카이돔,키움,1,KT,11,False,시범경기
2023.03.14,화,14:00,창원NC파크,NC,2,LG,5,False,시범경기
2023.03.14,화,14:00,사직야구장,롯데,8,두산,4,True,시범경기
2023.03.14,화,14:00,대구 삼성 라이온즈 파크,삼성,1,SSG,2,False,시범경기
2023.03.15,수,13:00,고척 스카이돔,키움,2,KIA,6,False,시범경기
2023.03.15,수,13:00,한화생명 이글스 파크,한화,10,KT,4,False,시범경기
2023.03.15,수,13:00,대구 삼성 라이온즈 파크,삼성,14,LG,8,False,시범경기
2023.03.15,수,13:00,창원NC파크,NC,3,두산,7,False,시범경기
2023.03.15,수,13:00,사직야구장,롯데,2,SSG,4,False,시범경기
2023.03.16,목,14:00,고척 스카이돔,키움,3,KIA,2,True,시범경기
2023.03.16,목,14:00,한화생명 이글스 파크,한화,5,KT,3,True,시범경기
2023.03.16,목,14:00,대구 삼성 라이온즈 파크,삼성,2,LG,5,False,시범경기
2023.03.16,목,14:00,창원NC파크,NC,3,두산,0,True,시범경기
2023.03.16,목,14:00,사직야구장,롯데,3,SSG,3,False,시범경기
2023.03.18,토,13:00,대구 삼성 라이온즈 파크,삼성,5,KT,4,True,시범경기
2023.03.18,토,13:00,사직야구장,롯데,2,LG,7,False,시범경기
2023.03.18,토,13:00,광주-기아 챔피언스필드,KIA,3,두산,3,False,시범경기
2023.03.18,토,13:00,창원NC파크,NC,7,SSG,6,True,시범경기
2023.03.18,토,13:00,한화생명 이글스 파크,한화,10,키움,2,False,시범경기
2023.03.19,일,13:00,대구 삼성 라이온즈 파크,삼성,4,KT,1,True,시범경기
2023.03.19,일,13:00,사직야구장,롯데,2,LG,5,False,시범경기
2023.03.19,일,13:00,광주-기아 챔피언스필드,KIA,8,두산,1,True,시범경기
2023.03.19,일,13:00,창원NC파크,NC,4,SSG,3,True,시범경기
2023.03.19,일,13:00,한화생명 이글스 파크,한화,4,키움,12,True,시범경기
2023.03.20,월,13:00,광주-기아 챔피언스필드,KIA,3,LG,1,True,시범경기
2023.03.20,월,13:00,대구 삼성 라이온즈 파크,삼성,5,롯데,2,True,시범경기
2023.03.20,월,13:00,수원 케이티위즈 파크,KT,8,두산,2,True,시범경기
2023.03.20,월,13:00,한화생명 이글스 파크,한화,10,SSG,1,True,시범경기
2023.03.20,월,13:00,창원NC파크,NC,0,키움,6,False,시범경기
2023.03.21,화,13:00,광주-기아 챔피언스필드,KIA,2,LG,6,False,시범경기
2023.03.21,화,13:00,대구 삼성 라이온즈 파크,삼성,12,롯데,10,True,시범경기
2023.03.21,화,13:00,수원 케이티위즈 파크,KT,5,두산,5,False,시범경기
2023.03.21,화,13:00,한화생명 이글스 파크,한화,3,SSG,3,False,시범경기
2023.03.21,화,13:00,창원NC파크,NC,5,키움,5,False,시범경기
2023.03.23,목,13:00,수원 케이티위즈 파크,KT,2,LG,6,False,시범경기
2023.03.23,목,13:00,창원NC파크,-,NC  -,경기취소,롯데,False,시범경기
2023.03.23,목,13:00,한화생명 이글스 파크,-,한화  -,경기취소,두산,True,시범경기
2023.03.23,목,13:00,광주-기아 챔피언스필드,-,KIA  -,경기취소,SSG,False,시범경기
2023.03.23,목,13:00,고척 스카이돔,키움,5,삼성,6,False,시범경기
2023.03.24,금,13:00,수원 케이티위즈 파크,KT,7,LG,1,True,시범경기
2023.03.24,금,13:00,창원NC파크,NC,5,롯데,6,False,시범경기
2023.03.24,금,13:00,한화생명 이글스 파크,한화,3,두산,10,True,시범경기
2023.03.24,금,13:00,광주-기아 챔피언스필드,KIA,2,SSG,3,False,시범경기
2023.03.24,금,13:00,고척 스카이돔,키움,3,삼성,4,False,시범경기
2023.03.25,토,13:00,고척 스카이돔,키움,1,LG,8,False,시범경기
