날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.02.25,토,14:00,울산 문수 축구경기장,울산,2,전북,1,True,1R
2023.02.25,토,16:30,서울 월드컵 경기장,서울,2,인천,1,True,1R
2023.02.25,토,16:30,수원 월드컵 경기장,수원,0,광주,1,False,1R
2023.02.26,일,14:00,제주 월드컵 경기장,제주,0,수원FC,0,False,1R
2023.02.26,일,14:30,포항 스틸야드,포항,3,대구,2,True,1R
2023.02.26,일,16:30,대전 월드컵 경기장,대전,2,강원,0,True,1R
2023.03.04,토,14:00,인천 축구 전용경기장,인천,3,대전,3,False,2R
2023.03.04,토,14:00,수원 종합 운동장,수원FC,1,포항,2,False,2R
2023.03.04,토,16:30,대구iM뱅크PARK,대구,1,제주,1,False,2R
2023.03.05,일,14:00,전주 월드컵 경기장,전북,1,수원,1,False,2R
2023.03.05,일,14:00,춘천 송암 스포츠타운,강원,0,울산,1,False,2R
2023.03.05,일,16:30,광주 축구 전용경기장,광주,0,서울,2,False,2R
2023.03.11,토,14:00,수원 종합 운동장,수원FC,2,수원,1,True,3R
2023.03.11,토,14:00,대전 월드컵 경기장,대전,0,포항,0,False,3R
2023.03.11,토,16:30,춘천 송암 스포츠타운,강원,1,대구,1,False,3R
2023.03.12,일,14:00,서울 월드컵 경기장,서울,1,울산,2,False,3R
2023.03.12,일,16:30,전주 월드컵 경기장,전북,2,광주,0,True,3R
2023.03.12,일,16:30,인천 축구 전용경기장,인천,1,제주,0,True,3R
2023.03.18,토,14:00,포항 스틸야드,포항,1,강원,1,False,4R
2023.03.18,토,14:00,광주 축구 전용경기장,광주,5,인천,0,True,4R
2023.03.18,토,16:30,제주 월드컵 경기장,제주,1,서울,2,False,4R
2023.03.19,일,14:00,대구iM뱅크PARK,대구,2,전북,0,True,4R
2023.03.19,일,14:00,수원 월드컵 경기장,수원,1,대전,3,False,4R
2023.03.19,일,16:30,울산 문수 축구경기장,울산,3,수원FC,0,True,4R
2023.04.01,토,14:00,전주 월드컵 경기장,전북,1,포항,2,False,5R
2023.04.01,토,16:30,인천 축구 전용경기장,인천,0,대구,0,False,5R
2023.04.01,토,16:30,광주 축구 전용경기장,광주,2,수원FC,0,True,5R
2023.04.01,토,19:00,대전 월드컵 경기장,대전,3,서울,2,True,5R
2023.04.02,일,14:00,제주 월드컵 경기장,제주,1,울산,3,False,5R
2023.04.02,일,16:30,수원 월드컵 경기장,수원,1,강원,1,False,5R
2023.04.08,토,14:00,울산 문수 축구경기장,울산,2,수원,1,True,6R
2023.04.08,토,16:30,서울 월드컵 경기장,서울,3,대구,0,True,6R
2023.04.08,토,19:00,포항 스틸야드,포항,2,광주,0,True,6R
2023.04.09,일,15:00,수원 종합 운동장,수원FC,5,대전,3,True,6R
2023.04.09,일,16:30,전주 월드컵 경기장,전북,2,인천,0,True,6R
2023.04.09,일,19:00,춘천 송암 스포츠타운,강원,0,제주,1,False,6R
2023.04.15,토,14:00,수원 월드컵 경기장,수원,2,제주,3,False,7R
2023.04.15,토,16:30,포항 스틸야드,포항,1,서울,1,False,7R
2023.04.15,토,19:00,수원 종합 운동장,수원FC,1,전북,0,True,7R
2023.04.16,일,14:00,춘천 송암 스포츠타운,강원,0,인천,2,False,7R
2023.04.16,일,16:30,대전 월드컵 경기장,대전,2,울산,1,True,7R
2023.04.16,일,19:00,대구iM뱅크PARK,대구,3,광주,4,False,7R
