,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
0,1,DJ02,야구,2023-03-13,월,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
1,2,SO04,야구,2023-03-13,월,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
2,3,CW01,야구,2023-03-13,월,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
3,4,BS02,야구,2023-03-13,월,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
4,5,DG03,야구,2023-03-13,월,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
5,6,DJ02,야구,2023-03-14,화,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
6,7,SO04,야구,2023-03-14,화,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
7,8,CW01,야구,2023-03-14,화,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
8,9,BS02,야구,2023-03-14,화,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
9,10,DG03,야구,2023-03-14,화,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
10,11,SO04,야구,2023-03-15,수,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
11,12,DJ02,야구,2023-03-15,수,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
12,13,DG03,야구,2023-03-15,수,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
13,14,CW01,야구,2023-03-15,수,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
14,15,BS02,야구,2023-03-15,수,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
15,16,SO04,야구,2023-03-16,목,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
16,17,DJ02,야구,2023-03-16,목,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
17,18,DG03,야구,2023-03-16,목,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
18,19,CW01,야구,2023-03-16,목,,0 days 14:00:00,0 days 17:00:00,1,시범경기,
19,20,BS02,야구,2023-03-16,목,,0 days 14:00:00,0 days 17:00:00,0,시범경기,
20,21,DG03,야구,2023-03-18,토,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
21,22,BS02,야구,2023-03-18,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
22,23,GJ02,야구,2023-03-18,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
23,24,CW01,야구,2023-03-18,토,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
24,25,DJ02,야구,2023-03-18,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
25,26,DG03,야구,2023-03-19,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
26,27,BS02,야구,2023-03-19,일,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
27,28,GJ02,야구,2023-03-19,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
28,29,CW01,야구,2023-03-19,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
29,30,DJ02,야구,2023-03-19,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
30,31,GJ02,야구,2023-03-20,월,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
31,32,DG03,야구,2023-03-20,월,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
32,33,SU03,야구,2023-03-20,월,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
33,34,DJ02,야구,2023-03-20,월,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
34,35,CW01,야구,2023-03-20,월,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
35,36,GJ02,야구,2023-03-21,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
36,37,DG03,야구,2023-03-21,화,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
37,38,SU03,야구,2023-03-21,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
38,39,DJ02,야구,2023-03-21,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
39,40,CW01,야구,2023-03-21,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
40,41,SU03,야구,2023-03-23,목,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
41,42,CW01,야구,2023-03-23,목,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
42,43,DJ02,야구,2023-03-23,목,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
43,44,GJ02,야구,2023-03-23,목,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
44,45,SO04,야구,2023-03-23,목,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
45,46,SU03,야구,2023-03-24,금,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
46,47,CW01,야구,2023-03-24,금,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
47,48,DJ02,야구,2023-03-24,금,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
48,49,GJ02,야구,2023-03-24,금,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
49,50,SO04,야구,2023-03-24,금,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
50,51,SO04,야구,2023-03-25,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
51,52,SU03,야구,2023-03-25,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
52,53,SO05,야구,2023-03-25,토,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
53,54,BS02,야구,2023-03-25,토,,0 days 18:00:00,0 days 21:00:00,0,시범경기,
54,55,GJ02,야구,2023-03-25,토,,0 days 18:00:00,0 days 21:00:00,0,시범경기,
55,56,BS02,야구,2023-03-26,일,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
56,57,SO04,야구,2023-03-26,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
57,58,GJ02,야구,2023-03-26,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
58,59,SU03,야구,2023-03-26,일,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
59,60,SO05,야구,2023-03-26,일,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
60,61,SU03,야구,2023-03-27,월,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
61,62,SO04,야구,2023-03-27,월,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
62,63,SO05,야구,2023-03-27,월,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
63,64,DG03,야구,2023-03-27,월,,0 days 18:00:00,0 days 21:00:00,0,시범경기,
64,65,BS02,야구,2023-03-27,월,,0 days 18:00:00,0 days 21:00:00,1,시범경기,
65,66,DG03,야구,2023-03-28,화,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
66,67,BS02,야구,2023-03-28,화,,0 days 13:00:00,0 days 16:00:00,1,시범경기,
67,68,SU03,야구,2023-03-28,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
68,69,SO04,야구,2023-03-28,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
69,70,SO05,야구,2023-03-28,화,,0 days 13:00:00,0 days 16:00:00,0,시범경기,
70,71,SO04,야구,2023-04-01,토,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,16000.0
71,72,IC02,야구,2023-04-01,토,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,23000.0
72,73,SU03,야구,2023-04-01,토,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,18700.0
73,74,SO05,야구,2023-04-01,토,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,23750.0
74,75,DG03,야구,2023-04-01,토,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,24000.0
75,76,SO04,야구,2023-04-02,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,11562.0
76,77,IC02,야구,2023-04-02,일,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,23000.0
77,78,SU03,야구,2023-04-02,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,14700.0
78,79,SO05,야구,2023-04-02,일,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,23750.0
79,80,DG03,야구,2023-04-02,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,18483.0
80,81,DG03,야구,2023-04-04,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,5936.0
81,82,SU03,야구,2023-04-04,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,
82,83,SO04,야구,2023-04-04,화,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,4510.0
83,84,IC02,야구,2023-04-04,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,5809.0
84,85,SO05,야구,2023-04-04,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,3924.0
85,86,DG03,야구,2023-04-05,수,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,
86,87,SU03,야구,2023-04-05,수,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,
87,88,SO04,야구,2023-04-05,수,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,4194.0
88,89,IC02,야구,2023-04-05,수,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,
89,90,SO05,야구,2023-04-05,수,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,2172.0
90,91,DG03,야구,2023-04-06,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,6525.0
91,92,SU03,야구,2023-04-06,목,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,
92,93,SO04,야구,2023-04-06,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,4556.0
93,94,IC02,야구,2023-04-06,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,
94,95,SO05,야구,2023-04-06,목,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,3724.0
95,96,BS02,야구,2023-04-07,금,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,14734.0
96,97,GJ02,야구,2023-04-07,금,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,12821.0
97,98,DJ02,야구,2023-04-07,금,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,10415.0
98,99,SO05,야구,2023-04-07,금,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,17201.0
99,100,CW01,야구,2023-04-07,금,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,6867.0
100,101,BS02,야구,2023-04-08,토,,0 days 17:00:00,0 days 20:00:00,0,페넌트레이스,16555.0
101,102,GJ02,야구,2023-04-08,토,,0 days 17:00:00,0 days 20:00:00,1,페넌트레이스,16432.0
102,103,DJ02,야구,2023-04-08,토,,0 days 17:00:00,0 days 20:00:00,0,페넌트레이스,11232.0
103,104,SO05,야구,2023-04-08,토,,0 days 17:00:00,0 days 20:00:00,1,페넌트레이스,22141.0
104,105,CW01,야구,2023-04-08,토,,0 days 17:00:00,0 days 20:00:00,0,페넌트레이스,9763.0
105,106,BS02,야구,2023-04-09,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,12283.0
106,107,GJ02,야구,2023-04-09,일,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,14070.0
107,108,DJ02,야구,2023-04-09,일,,0 days 14:00:00,0 days 17:00:00,0,페넌트레이스,9455.0
108,109,SO05,야구,2023-04-09,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,20439.0
109,110,CW01,야구,2023-04-09,일,,0 days 14:00:00,0 days 17:00:00,1,페넌트레이스,7686.0
110,111,GJ02,야구,2023-04-11,화,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,3623.0
111,112,CW01,야구,2023-04-11,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,2069.0
112,113,BS02,야구,2023-04-11,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,5286.0
113,114,DG03,야구,2023-04-11,화,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,3907.0
114,115,SO05,야구,2023-04-11,화,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,4372.0
115,116,GJ02,야구,2023-04-12,수,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,5252.0
116,117,CW01,야구,2023-04-12,수,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,2448.0
117,118,BS02,야구,2023-04-12,수,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,6519.0
118,119,DG03,야구,2023-04-12,수,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,5405.0
119,120,SO05,야구,2023-04-12,수,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,
120,121,GJ02,야구,2023-04-13,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,5457.0
121,122,CW01,야구,2023-04-13,목,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,3174.0
122,123,BS02,야구,2023-04-13,목,,0 days 18:30:00,0 days 21:30:00,1,페넌트레이스,6505.0
123,124,DG03,야구,2023-04-13,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,4648.0
124,125,SO05,야구,2023-04-13,목,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,6917.0
125,126,SU03,야구,2023-04-14,금,,0 days 18:30:00,0 days 21:30:00,0,페넌트레이스,7145.0
