game_id,stadium_code,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌,type_농구,type_배구,type_야구,type_여자배구,type_축구
1,DJ02,2023-03-13,월,0,0 days 14:00:00,1,10462.732023842591,대전 중구,3.0,4.0,0.0,8.8,0.0,0.0,14,True,False,False,False,False,True,False,False
2,SO04,2023-03-13,월,0,0 days 14:00:00,0,9441.820069577421,서울 구로구,0.0,0.0,0.0,6.6,0.0,0.0,14,True,False,False,False,False,True,False,False
3,CW01,2023-03-13,월,0,0 days 14:00:00,0,9474.011414847546,경남 창원시,0.0,0.0,0.0,8.3,0.0,0.0,14,True,False,False,False,False,True,False,False
4,BS02,2023-03-13,월,0,0 days 14:00:00,0,13904.27619391022,부산 동래구,2.0,2.0,0.0,9.8,0.0,0.0,14,True,False,False,False,False,True,False,False
5,DG03,2023-03-13,월,0,0 days 14:00:00,1,15106.588094062428,대구 수성구,5.0,8.0,0.0,8.9,0.0,0.0,14,True,False,False,False,False,True,False,False
6,DJ02,2023-03-14,화,0,0 days 14:00:00,0,9701.095144069415,대전 중구,2.0,2.0,0.0,16.6,0.0,0.0,14,True,False,False,False,False,True,False,False
7,SO04,2023-03-14,화,0,0 days 14:00:00,0,12523.568819108921,서울 구로구,0.0,0.0,0.0,15.2,0.0,0.0,14,True,False,False,False,False,True,False,False
8,CW01,2023-03-14,화,0,0 days 14:00:00,0,8379.669002593186,경남 창원시,0.0,0.0,0.0,15.0,0.0,0.0,14,True,False,False,False,False,True,False,False
9,BS02,2023-03-14,화,0,0 days 14:00:00,1,15503.966972271122,부산 동래구,4.0,7.0,0.0,13.2,0.0,0.0,14,True,False,False,False,False,True,False,False
10,DG03,2023-03-14,화,0,0 days 14:00:00,0,17140.50797457056,대구 수성구,3.0,6.0,0.0,17.4,0.0,0.0,14,True,False,False,False,False,True,False,False
11,SO04,2023-03-15,수,0,0 days 13:00:00,0,9415.299951299097,서울 구로구,0.0,0.0,0.0,14.2,0.0,0.0,13,True,False,False,False,False,True,False,False
12,DJ02,2023-03-15,수,0,0 days 13:00:00,0,10161.288787156187,대전 중구,2.0,3.0,0.0,18.6,0.0,0.0,13,True,False,False,False,False,True,False,False
13,DG03,2023-03-15,수,0,0 days 13:00:00,0,15053.657541455832,대구 수성구,4.0,4.0,0.0,19.6,0.0,0.0,13,True,False,False,False,False,True,False,False
14,CW01,2023-03-15,수,0,0 days 13:00:00,0,10886.393270003875,경남 창원시,0.0,0.0,0.0,19.3,0.0,0.0,13,True,False,False,False,False,True,False,False
15,BS02,2023-03-15,수,0,0 days 13:00:00,0,16361.298138342656,부산 동래구,3.0,4.0,0.0,15.5,0.0,0.0,13,True,False,False,False,False,True,False,False
16,SO04,2023-03-16,목,0,0 days 14:00:00,1,8868.821351156143,서울 구로구,0.0,0.0,0.0,8.4,0.0,0.0,14,True,False,False,False,False,True,False,False
17,DJ02,2023-03-16,목,0,0 days 14:00:00,1,8862.53689798132,대전 중구,0.0,0.0,0.0,11.6,0.0,0.0,14,True,False,False,False,False,True,False,False
18,DG03,2023-03-16,목,0,0 days 14:00:00,0,13925.505224986575,대구 수성구,8.0,11.0,0.0,14.6,0.0,0.0,14,True,False,False,False,False,True,False,False
19,CW01,2023-03-16,목,0,0 days 14:00:00,1,8757.887346989442,경남 창원시,0.0,0.0,0.0,14.6,0.0,0.0,14,True,False,False,False,False,True,False,False
20,BS02,2023-03-16,목,0,0 days 14:00:00,0,15132.604820518107,부산 동래구,6.0,7.0,0.0,15.2,0.0,0.0,14,True,False,False,False,False,True,False,False
21,DG03,2023-03-18,토,1,0 days 13:00:00,1,16389.84191244903,대구 수성구,5.0,7.0,0.0,15.4,0.0,0.0,13,True,False,False,False,False,True,False,False
22,BS02,2023-03-18,토,1,0 days 13:00:00,0,17549.703042830468,부산 동래구,1.0,1.0,0.0,15.5,0.0,0.0,13,True,False,False,False,False,True,False,False
23,GJ02,2023-03-18,토,1,0 days 13:00:00,0,11901.213060532158,광주 북구,4.0,4.0,0.0,15.1,0.0,0.0,13,True,False,False,False,False,True,False,False
24,CW01,2023-03-18,토,1,0 days 13:00:00,1,9454.353311404586,경남 창원시,0.0,0.0,0.0,15.8,0.0,0.0,13,True,False,False,False,False,True,False,False
25,DJ02,2023-03-18,토,1,0 days 13:00:00,0,8030.86489116039,대전 중구,3.0,7.0,0.0,13.7,0.0,0.0,13,True,False,False,False,False,True,False,False
26,DG03,2023-03-19,일,1,0 days 13:00:00,1,14703.730620839993,대구 수성구,5.0,6.0,0.0,16.3,0.0,0.0,13,True,False,False,False,False,True,False,False
27,BS02,2023-03-19,일,1,0 days 13:00:00,0,18410.376056906938,부산 동래구,1.0,1.0,0.0,17.4,0.0,0.0,13,True,False,False,False,False,True,False,False
28,GJ02,2023-03-19,일,1,0 days 13:00:00,1,13502.633623932697,광주 북구,7.0,11.0,0.0,15.0,0.0,0.0,13,True,False,False,False,False,True,False,False
29,CW01,2023-03-19,일,1,0 days 13:00:00,1,8951.660719658084,경남 창원시,0.0,0.0,0.0,16.8,0.0,0.0,13,True,False,False,False,False,True,False,False
30,DJ02,2023-03-19,일,1,0 days 13:00:00,1,8546.805768928525,대전 중구,2.0,2.0,0.0,14.0,0.0,0.0,13,True,False,False,False,False,True,False,False
31,GJ02,2023-03-20,월,0,0 days 13:00:00,1,15495.553582283039,광주 북구,10.0,12.0,0.0,18.1,0.0,0.0,13,True,False,False,False,False,True,False,False
32,DG03,2023-03-20,월,0,0 days 13:00:00,1,17947.050514733113,대구 수성구,7.0,10.0,0.0,17.6,0.0,0.0,13,True,False,False,False,False,True,False,False
33,SU03,2023-03-20,월,0,0 days 13:00:00,1,12907.302171884287,경기 수원시,10.0,11.0,0.0,14.6,0.0,0.0,13,True,False,False,False,False,True,False,False
34,DJ02,2023-03-20,월,0,0 days 13:00:00,1,8426.298266674437,대전 중구,3.0,4.0,0.0,18.1,0.0,0.0,13,True,False,False,False,False,True,False,False
35,CW01,2023-03-20,월,0,0 days 13:00:00,0,9688.576344939143,경남 창원시,0.0,0.0,0.0,17.5,0.0,0.0,13,True,False,False,False,False,True,False,False
36,GJ02,2023-03-21,화,0,0 days 13:00:00,0,12238.501966892974,광주 북구,4.0,5.0,0.0,21.8,0.0,0.0,13,True,False,False,False,False,True,False,False
37,DG03,2023-03-21,화,0,0 days 13:00:00,1,18742.44849233317,대구 수성구,6.0,11.0,0.0,20.3,0.0,0.0,13,True,False,False,False,False,True,False,False
38,SU03,2023-03-21,화,0,0 days 13:00:00,0,10541.358132085139,경기 수원시,12.0,15.0,0.0,17.9,0.0,0.0,13,True,False,False,False,False,True,False,False
39,DJ02,2023-03-21,화,0,0 days 13:00:00,0,9167.389058885174,대전 중구,2.0,2.0,0.0,20.6,0.0,0.0,13,True,False,False,False,False,True,False,False
40,CW01,2023-03-21,화,0,0 days 13:00:00,0,10535.085752294608,경남 창원시,0.0,0.0,0.0,18.3,0.0,0.0,13,True,False,False,False,False,True,False,False
41,SU03,2023-03-23,목,0,0 days 13:00:00,0,10930.730394086519,경기 수원시,9.0,10.0,0.0,21.4,0.0,0.0,13,True,False,False,False,False,True,False,False
42,CW01,2023-03-23,목,0,0 days 13:00:00,0,8979.732193009597,경남 창원시,0.0,0.0,0.0,16.5,0.0,0.0,13,True,False,False,False,False,True,False,False
43,DJ02,2023-03-23,목,0,0 days 13:00:00,1,9804.128462953871,대전 중구,3.0,4.0,0.0,16.7,0.0,0.0,13,True,False,False,False,False,True,False,False
44,GJ02,2023-03-23,목,0,0 days 13:00:00,0,15138.042272983092,광주 북구,6.0,10.0,0.0,16.8,0.0,0.0,13,True,False,False,False,False,True,False,False
45,SO04,2023-03-23,목,0,0 days 13:00:00,0,8879.320017015196,서울 구로구,0.0,0.0,0.0,20.8,0.0,0.0,13,True,False,False,False,False,True,False,False
46,SU03,2023-03-24,금,0,0 days 13:00:00,1,9662.655555927282,경기 수원시,15.0,18.0,0.0,14.8,0.0,0.0,13,True,False,False,False,False,True,False,False
47,CW01,2023-03-24,금,0,0 days 13:00:00,0,9036.84420753766,경남 창원시,0.0,0.0,0.0,14.1,0.0,0.0,13,True,False,False,False,False,True,False,False
48,DJ02,2023-03-24,금,0,0 days 13:00:00,1,9968.990895369132,대전 중구,3.0,3.0,0.0,16.3,0.0,0.0,13,True,False,False,False,False,True,False,False
49,GJ02,2023-03-24,금,0,0 days 13:00:00,0,17033.230579446306,광주 북구,5.0,9.0,0.0,12.4,0.0,0.0,13,True,False,False,False,False,True,False,False
50,SO04,2023-03-24,금,0,0 days 13:00:00,0,9549.784081677884,서울 구로구,0.0,0.0,0.0,16.9,0.0,0.0,13,True,False,False,False,False,True,False,False
51,SO04,2023-03-25,토,1,0 days 13:00:00,0,9690.475135807788,서울 구로구,0.0,0.0,0.0,16.9,0.0,0.0,13,True,False,False,False,False,True,False,False
52,SU03,2023-03-25,토,1,0 days 13:00:00,0,9316.724172921542,경기 수원시,15.0,22.0,0.0,15.5,0.0,0.0,13,True,False,False,False,False,True,False,False
53,SO05,2023-03-25,토,1,0 days 13:00:00,0,17468.548600636157,서울 송파구,3.0,5.0,0.0,16.9,0.0,0.0,13,True,False,False,False,False,True,False,False
54,BS02,2023-03-25,토,1,0 days 18:00:00,0,14999.473598997445,부산 동래구,2.0,2.0,0.0,12.1,0.0,0.0,18,True,False,False,False,False,True,False,False
55,GJ02,2023-03-25,토,1,0 days 18:00:00,0,13034.345695965476,광주 북구,3.0,4.0,0.0,12.8,0.0,0.0,18,True,False,False,False,False,True,False,False
56,BS02,2023-03-26,일,1,0 days 13:00:00,0,17005.58872230598,부산 동래구,4.0,7.0,0.0,14.8,0.0,0.0,13,True,False,False,False,False,True,False,False
57,SO04,2023-03-26,일,1,0 days 13:00:00,1,9877.692203223927,서울 구로구,0.0,0.0,0.0,13.6,0.0,0.0,13,True,False,False,False,False,True,False,False
58,GJ02,2023-03-26,일,1,0 days 13:00:00,1,13879.954316059695,광주 북구,4.0,5.0,0.0,15.4,0.0,0.0,13,True,False,False,False,False,True,False,False
59,SU03,2023-03-26,일,1,0 days 13:00:00,1,9138.599264409118,경기 수원시,8.0,12.0,0.0,13.9,0.0,0.0,13,True,False,False,False,False,True,False,False
60,SO05,2023-03-26,일,1,0 days 13:00:00,0,17157.155231272107,서울 송파구,4.0,4.0,0.0,13.6,0.0,0.0,13,True,False,False,False,False,True,False,False
61,SU03,2023-03-27,월,0,0 days 13:00:00,1,11988.368307630215,경기 수원시,12.0,14.0,0.0,11.8,0.0,0.0,13,True,False,False,False,False,True,False,False
