game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_정규시즌,match_포스트시즌
2036,US01,축구,2023-02-25,토,1,0 days 14:00:00,1,28039.0,울산 남구,5.0,7.0,0.0,7.4,0.0,0.0,14,True,False
2037,SO01,축구,2023-02-25,토,1,0 days 16:30:00,1,22204.0,서울 마포구,5.0,6.0,0.0,4.7,0.0,0.0,16,True,False
2038,SU01,축구,2023-02-25,토,1,0 days 16:30:00,0,10348.0,경기 수원시,14.0,20.0,0.0,4.7,0.0,0.0,16,True,False
2039,JE01,축구,2023-02-26,일,1,0 days 14:00:00,0,8362.0,제주 제주시,4.0,5.0,0.0,9.2,0.0,0.0,14,True,False
2041,DJ01,축구,2023-02-26,일,1,0 days 16:30:00,1,18590.0,대전 유성구,3.0,6.0,0.0,9.8,0.0,0.0,16,True,False
2042,IC01,축구,2023-03-04,토,1,0 days 14:00:00,0,10011.0,인천 서구,4.0,6.0,0.0,9.8,0.0,0.0,14,True,False
2043,SU02,축구,2023-03-04,토,1,0 days 14:00:00,0,7155.0,경기 수원시,5.0,6.0,0.0,12.8,0.0,0.0,14,True,False
2044,DG01,축구,2023-03-04,토,1,0 days 16:30:00,0,10851.0,대구 동구,4.0,5.0,0.0,15.4,0.0,0.0,16,True,False
2045,JJ01,축구,2023-03-05,일,1,0 days 14:00:00,0,19660.0,전북 전주시,5.0,11.0,0.0,16.3,0.0,0.0,14,True,False
2046,CC01,축구,2023-03-05,일,1,0 days 14:00:00,0,6199.0,강원 춘천시,2.0,2.0,0.0,14.5,0.0,0.0,14,True,False
2047,GJ01,축구,2023-03-05,일,1,0 days 16:30:00,0,7357.0,광주 광산구,3.0,3.0,0.0,14.9,0.0,0.0,16,True,False
2048,SU02,축구,2023-03-11,토,1,0 days 14:00:00,1,8670.0,경기 수원시,17.0,20.0,0.0,23.1,0.0,0.0,14,True,False
2049,DJ01,축구,2023-03-11,토,1,0 days 14:00:00,0,8661.0,대전 유성구,2.0,2.0,0.0,24.6,0.0,0.0,14,True,False
2050,CC01,축구,2023-03-11,토,1,0 days 16:30:00,0,4058.0,강원 춘천시,4.0,6.0,0.0,21.2,0.0,0.0,16,True,False
2051,SO01,축구,2023-03-12,일,1,0 days 14:00:00,0,20549.0,서울 마포구,1.0,0.0,1.0,6.9,0.0,0.0,14,True,False
