date,region_code,accident_count,game_count,sport_types,has_playoff,temperature,precipitation,weather_condition,is_holiday,weekday
2023-01-01,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-01-02,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-01-03,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-01-04,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-01-05,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-01-06,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-01-07,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-01-08,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-01-09,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-01-10,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-01-11,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-01-12,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-01-13,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-01-14,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-01-15,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-01-16,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-01-17,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-01-18,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-01-19,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-01-20,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-01-21,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-01-22,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-01-23,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-01-24,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-01-25,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-01-26,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-01-27,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-01-28,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-01-29,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-01-30,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-01-31,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-02-01,서울_송파구,0,0,없음,0,,,정보없음,0,수
