시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
2023,K리그1,하나원큐 K리그1 2023,1,2023.2.25,울산,전북,2:01,울산 문수,"28,039","2,037",주말
2023,K리그1,하나원큐 K리그1 2023,2,2023.2.25,서울,인천,2:01,서울 월드컵,"22,204","3,216",주말
2023,K리그1,하나원큐 K리그1 2023,3,2023.2.25,수원,광주,0:01,수원 월드컵,"10,348",409,주말
2023,K리그1,하나원큐 K리그1 2023,4,2023.2.26,포항,대구,3:02,포항 스틸야드,"14,089","1,152",주말
2023,K리그1,하나원큐 K리그1 2023,5,2023.2.26,제주,수원FC,0:00,제주 월드컵,"8,362",181,주말
2023,K리그1,하나원큐 K리그1 2023,6,2023.2.26,대전,강원,2:00,대전 월드컵,"18,590",975,주말
2023,K리그1,하나원큐 K리그1 2023,7,2023.3.4,인천,대전,3:03,인천 전용,"10,011",640,주말
2023,K리그1,하나원큐 K리그1 2023,8,2023.3.4,수원FC,포항,1:02,수원 종합,"7,155",619,주말
2023,K리그1,하나원큐 K리그1 2023,9,2023.3.4,대구,제주,1:01,대구iM뱅크PARK,"10,851",193,주말
2023,K리그1,하나원큐 K리그1 2023,10,2023.3.5,전북,수원,1:01,전주 월드컵,"19,660","1,663",주말
2023,K리그1,하나원큐 K리그1 2023,11,2023.3.5,강원,울산,0:01,춘천 송암,"6,199",567,주말
2023,K리그1,하나원큐 K리그1 2023,12,2023.3.5,광주,서울,0:02,광주 전용,"7,357",539,주말
2023,K리그1,하나원큐 K리그1 2023,13,2023.3.11,수원FC,수원,2:01,수원 종합,"8,670","1,700",주말
2023,K리그1,하나원큐 K리그1 2023,14,2023.3.11,대전,포항,0:00,대전 월드컵,"8,661",749,주말
2023,K리그1,하나원큐 K리그1 2023,15,2023.3.11,강원,대구,1:01,춘천 송암,"4,058",369,주말
2023,K리그1,하나원큐 K리그1 2023,16,2023.3.12,서울,울산,1:02,서울 월드컵,"20,549","2,000",주말
2023,K리그1,하나원큐 K리그1 2023,17,2023.3.12,전북,광주,2:00,전주 월드컵,"8,051",255,주말
2023,K리그1,하나원큐 K리그1 2023,18,2023.3.12,인천,제주,1:00,인천 전용,"6,007",124,주말
