date,region_code,accident_count,game_count,sports_types,is_post_season,temperature,precipitation,snow_depth,weather_condition,is_holiday,weekday
2023-01-01,대구 수성구,4,0,없음,0,-2.0,0.0,0.0,맑음,1,일
2023-01-02,대구 수성구,5,0,없음,0,-5.2,0.0,0.0,맑음,0,월
2023-01-03,대구 수성구,3,0,없음,0,-6.2,0.0,0.0,맑음,0,화
2023-01-04,대구 수성구,6,0,없음,0,-3.5,0.0,0.0,맑음,0,수
2023-01-05,대구 수성구,5,0,없음,0,-3.6,0.0,0.0,구름조금,0,목
2023-01-06,대구 수성구,9,0,없음,0,-1.3,0.6,0.0,비/눈,0,금
2023-01-07,대구 수성구,3,0,없음,0,0.8,5.0,0.0,비/눈,1,토
2023-01-08,대구 수성구,5,0,없음,0,-0.4,0.0,0.0,맑음,1,일
2023-01-09,대구 수성구,6,0,없음,0,2.8,0.0,0.0,구름조금,0,월
2023-01-10,대구 수성구,9,0,없음,0,-0.2,0.0,0.0,맑음,0,화
2023-01-11,대구 수성구,5,0,없음,0,0.1,0.0,0.0,맑음,0,수
2023-01-12,대구 수성구,4,0,없음,0,3.9,0.0,0.0,맑음,0,목
2023-01-13,대구 수성구,5,0,없음,0,7.2,25.1,0.0,비/눈,0,금
2023-01-14,대구 수성구,8,0,없음,0,5.2,3.1,0.0,비/눈,1,토
2023-01-15,대구 수성구,7,0,없음,0,-0.9,3.1,11.600000000000001,비/눈,1,일
2023-01-16,대구 수성구,1,0,없음,0,-4.7,0.0,12.4,맑음,0,월
2023-01-17,대구 수성구,1,0,없음,0,-3.3,0.0,0.0,흐림,0,화
2023-01-18,대구 수성구,8,0,없음,0,-1.7,0.0,0.0,맑음,0,수
2023-01-19,대구 수성구,9,0,없음,0,-0.7,0.0,0.0,구름조금,0,목
2023-01-20,대구 수성구,10,0,없음,0,-1.6,0.7,0.0,비/눈,0,금
2023-01-21,대구 수성구,7,0,없음,0,-4.5,0.0,0.0,맑음,1,토
2023-01-22,대구 수성구,2,0,없음,0,-0.1,0.0,0.0,흐림,1,일
2023-01-23,대구 수성구,1,0,없음,0,-0.1,0.0,0.0,구름조금,1,월
2023-01-24,대구 수성구,3,0,없음,0,-12.5,0.0,0.0,맑음,1,화
