date,region_code,accident_count,game_count,sports_types,is_post_season,temperature,precipitation,snow_depth,weather_condition,is_holiday,weekday
2023-01-01,충북 청주시,10,0,없음,0,-2.0,0.0,0.0,맑음,1,일
2023-01-02,충북 청주시,5,0,없음,0,-5.2,0.0,0.0,맑음,0,월
2023-01-03,충북 청주시,10,0,없음,0,-6.2,0.0,0.0,맑음,0,화
2023-01-04,충북 청주시,10,0,없음,0,-3.5,0.0,0.0,맑음,0,수
2023-01-05,충북 청주시,17,0,없음,0,-3.6,0.0,0.0,구름조금,0,목
2023-01-06,충북 청주시,7,0,없음,0,-1.3,0.6,0.0,비/눈,0,금
2023-01-07,충북 청주시,10,0,없음,0,0.8,5.0,0.0,비/눈,1,토
2023-01-08,충북 청주시,2,0,없음,0,-0.4,0.0,0.0,맑음,1,일
2023-01-09,충북 청주시,11,0,없음,0,2.8,0.0,0.0,구름조금,0,월
2023-01-10,충북 청주시,11,0,없음,0,-0.2,0.0,0.0,맑음,0,화
2023-01-11,충북 청주시,11,0,없음,0,0.1,0.0,0.0,맑음,0,수
2023-01-12,충북 청주시,10,0,없음,0,3.9,0.0,0.0,맑음,0,목
2023-01-13,충북 청주시,9,0,없음,0,7.2,25.1,0.0,비/눈,0,금
2023-01-14,충북 청주시,9,0,없음,0,5.2,3.1,0.0,비/눈,1,토
2023-01-15,충북 청주시,8,0,없음,0,-0.9,3.1,11.600000000000001,비/눈,1,일
2023-01-16,충북 청주시,17,0,없음,0,-4.7,0.0,12.4,맑음,0,월
2023-01-17,충북 청주시,5,0,없음,0,-3.3,0.0,0.0,흐림,0,화
2023-01-18,충북 청주시,11,0,없음,0,-1.7,0.0,0.0,맑음,0,수
2023-01-19,충북 청주시,8,0,없음,0,-0.7,0.0,0.0,구름조금,0,목
2023-01-20,충북 청주시,13,0,없음,0,-1.6,0.7,0.0,비/눈,0,금
2023-01-21,충북 청주시,6,0,없음,0,-4.5,0.0,0.0,맑음,1,토
2023-01-22,충북 청주시,6,0,없음,0,-0.1,0.0,0.0,흐림,1,일
2023-01-23,충북 청주시,7,0,없음,0,-0.1,0.0,0.0,구름조금,1,월
2023-01-24,충북 청주시,11,0,없음,0,-12.5,0.0,0.0,맑음,1,화
2023-01-25,충북 청주시,9,0,없음,0,-11.5,0.0,0.0,맑음,0,수
2023-01-26,충북 청주시,10,0,없음,0,-6.0,1.3,74.5,비/눈,0,목
2023-01-27,충북 청주시,13,0,없음,0,-7.1,0.0,55.3,맑음,0,금
2023-01-28,충북 청주시,7,0,없음,0,-5.9,0.0,3.3,맑음,1,토
2023-01-29,충북 청주시,2,0,없음,0,-2.2,0.0,0.0,맑음,1,일
2023-01-30,충북 청주시,15,0,없음,0,-1.2,0.0,0.0,맑음,0,월
2023-01-31,충북 청주시,6,0,없음,0,1.4,0.0,0.0,맑음,0,화
2023-02-01,충북 청주시,10,0,없음,0,2.0,0.0,0.0,맑음,0,수
2023-02-02,충북 청주시,4,0,없음,0,-2.4,0.0,0.0,구름조금,0,목
2023-02-03,충북 청주시,7,0,없음,0,-1.9,0.0,0.0,구름조금,0,금
2023-02-04,충북 청주시,8,0,없음,0,-1.8,0.0,0.0,맑음,1,토
2023-02-05,충북 청주시,10,0,없음,0,-0.2,0.0,0.0,맑음,1,일
2023-02-06,충북 청주시,11,0,없음,0,1.7,0.0,0.0,구름조금,0,월
2023-02-07,충북 청주시,12,0,없음,0,1.8,0.0,0.0,맑음,0,화
2023-02-08,충북 청주시,15,0,없음,0,0.4,0.0,0.0,구름조금,0,수
2023-02-09,충북 청주시,10,0,없음,0,2.9,0.0,0.0,구름조금,0,목
2023-02-10,충북 청주시,9,0,없음,0,3.9,0.5,0.0,비/눈,0,금
2023-02-11,충북 청주시,12,0,없음,0,1.3,0.0,0.0,구름조금,1,토
2023-02-12,충북 청주시,5,0,없음,0,2.3,0.0,0.0,구름조금,1,일
2023-02-13,충북 청주시,10,0,없음,0,6.1,0.0,0.0,흐림,0,월
2023-02-14,충북 청주시,7,0,없음,0,1.5,0.0,0.0,맑음,0,화
2023-02-15,충북 청주시,8,0,없음,0,2.7,0.0,0.0,구름조금,0,수
2023-02-16,충북 청주시,9,0,없음,0,1.9,0.0,0.0,구름조금,0,목
2023-02-17,충북 청주시,9,0,없음,0,2.5,0.0,0.0,구름조금,0,금
2023-02-18,충북 청주시,3,0,없음,0,5.5,0.0,0.0,흐림,1,토
2023-02-19,충북 청주시,14,0,없음,0,3.2,0.2,0.0,비/눈,1,일
2023-02-20,충북 청주시,14,0,없음,0,-0.4,0.0,0.0,맑음,0,월
2023-02-21,충북 청주시,14,0,없음,0,-1.6,0.0,0.0,맑음,0,화
2023-02-22,충북 청주시,10,0,없음,0,-0.3,0.0,0.0,구름조금,0,수
2023-02-23,충북 청주시,5,0,없음,0,1.5,0.0,0.0,맑음,0,목
2023-02-24,충북 청주시,9,0,없음,0,2.6,0.0,0.0,맑음,0,금
2023-02-25,충북 청주시,18,0,없음,0,0.7,0.0,0.0,맑음,1,토
2023-02-26,충북 청주시,9,0,없음,0,1.1,0.0,0.0,맑음,1,일
2023-02-27,충북 청주시,6,0,없음,0,2.5,0.0,0.0,맑음,0,월
2023-02-28,충북 청주시,13,0,없음,0,3.0,0.0,0.0,맑음,0,화
2023-03-01,충북 청주시,8,0,없음,0,5.9,0.0,0.0,구름조금,1,수
2023-03-02,충북 청주시,17,0,없음,0,1.9,0.0,0.0,맑음,0,목
2023-03-03,충북 청주시,9,0,없음,0,3.4,0.0,0.0,맑음,0,금
2023-03-04,충북 청주시,7,0,없음,0,6.8,0.0,0.0,구름조금,1,토
2023-03-05,충북 청주시,11,0,없음,0,6.0,0.0,0.0,맑음,1,일
2023-03-06,충북 청주시,11,0,없음,0,6.7,0.0,0.0,맑음,0,월
2023-03-07,충북 청주시,7,0,없음,0,10.0,0.0,0.0,맑음,0,화
2023-03-08,충북 청주시,20,0,없음,0,11.0,0.0,0.0,구름조금,0,수
2023-03-09,충북 청주시,9,0,없음,0,10.3,0.1,0.0,비/눈,0,목
2023-03-10,충북 청주시,8,0,없음,0,11.7,0.0,0.0,맑음,0,금
2023-03-11,충북 청주시,5,0,없음,0,13.6,0.0,0.0,구름조금,1,토
2023-03-12,충북 청주시,2,0,없음,0,6.3,5.2,0.0,비/눈,1,일
2023-03-13,충북 청주시,16,0,없음,0,2.8,0.0,0.0,맑음,0,월
2023-03-14,충북 청주시,14,0,없음,0,8.3,0.0,0.0,구름조금,0,화
2023-03-15,충북 청주시,7,0,없음,0,8.4,0.0,0.0,구름조금,0,수
2023-03-16,충북 청주시,12,0,없음,0,4.4,0.0,0.0,구름조금,0,목
2023-03-17,충북 청주시,10,0,없음,0,6.2,0.0,0.0,흐림,0,금
2023-03-18,충북 청주시,11,0,없음,0,7.0,0.0,0.0,맑음,1,토
2023-03-19,충북 청주시,7,0,없음,0,6.3,0.0,0.0,맑음,1,일
2023-03-20,충북 청주시,26,0,없음,0,6.6,0.0,0.0,구름조금,0,월
2023-03-21,충북 청주시,11,0,없음,0,10.6,0.0,0.0,맑음,0,화
2023-03-22,충북 청주시,13,0,없음,0,14.9,0.0,0.0,구름조금,0,수
2023-03-23,충북 청주시,10,0,없음,0,16.3,0.2,0.0,비/눈,0,목
2023-03-24,충북 청주시,8,0,없음,0,11.0,0.0,0.0,구름조금,0,금
2023-03-25,충북 청주시,5,0,없음,0,10.7,0.0,0.0,구름조금,1,토
2023-03-26,충북 청주시,14,0,없음,0,8.9,0.0,0.0,맑음,1,일
